Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Parent,Parent summary,Status Category
create infterface as template sended,UA-18,10017,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:51 AM,13/Dec/22 11:00 AM,13/Dec/22 11:29 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,UA-17,,,,,0|i0003b:,chat in the app,,10012,make chat conversation,To Do
set up socket.io,UA-17,10016,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:50 AM,13/Dec/22 11:00 AM,13/Dec/22 11:13 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,UA-18,,,,0|i00033:,chat in the app,,10012,make chat conversation,To Do
make a security in this action,UA-16,10015,Story,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:39 AM,13/Dec/22 10:39 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i0002v:,Transaction in the app,,10002,make an transaction,To Do
create all api,UA-15,10014,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:38 AM,13/Dec/22 10:38 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i0002n:,Transaction in the app,,10002,make an transaction,To Do
create tables for transaction,UA-14,10013,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:38 AM,13/Dec/22 10:38 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i0002f:,Transaction in the app,,10002,make an transaction,To Do
make chat conversation,UA-13,10012,Epic,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:37 AM,13/Dec/22 10:37 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i00027:,,,,,To Do
Create all api interfaces is needed it for dynamic app,UA-12,10011,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:35 AM,13/Dec/22 10:35 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i0001z:,Preparing the first epic,,10001,Manage all Client,To Do
Create admin admin interface as the template,UA-11,10010,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:34 AM,13/Dec/22 10:34 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i0001r:,Preparing the first epic,,10001,Manage all Client,To Do
Create user interface as the template,UA-10,10009,Task,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:31 AM,13/Dec/22 10:33 AM,13/Dec/22 10:33 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,13/Dec/22 10:32 AM;62960d882eafc9006eebb097;original-d6adfa40b9b8ac940dff9c7c1da465b8.png;https://younesdevj.atlassian.net/secure/attachment/10000/original-d6adfa40b9b8ac940dff9c7c1da465b8.png,,,0|i0001j:,Preparing the first epic,,10001,Manage all Client,To Do
install node js and react js  in the server,UA-8,10007,Story,To Do,UA,Social_app,software,Younes Zahfouf,62960d882eafc9006eebb097,,Medium,,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,Younes Zahfouf,62960d882eafc9006eebb097,13/Dec/22 10:29 AM,13/Dec/22 10:31 AM,13/Dec/22 11:30 AM,,,0,,,Younes Zahfouf,62960d882eafc9006eebb097,,,,,,,,,,,,,,0|i0001b:,Preparing the first epic,,10001,Manage all Client,To Do
